"order_date","late_pct"
"2022-02-11",17.8
"2022-02-12",45.6
"2022-02-13",17.0
"2022-02-14",45.7
"2022-02-15",16.3
"2022-02-16",47.3
"2022-02-17",17.6
"2022-02-18",45.5
"2022-03-01",15.4
"2022-03-02",43.9
"2022-03-03",15.7
"2022-03-04",44.1
"2022-03-05",16.9
"2022-03-06",45.3
"2022-03-07",14.8
"2022-03-08",45.6
"2022-03-09",17.6
"2022-03-10",46.9
"2022-03-11",16.4
"2022-03-12",45.2
"2022-03-13",17.4
"2022-03-14",46.1
"2022-03-15",17.8
"2022-03-16",45.4
"2022-03-17",16.0
"2022-03-18",48.0
"2022-03-19",14.8
"2022-03-20",45.7
"2022-03-21",17.6
"2022-03-23",46.2
"2022-03-24",16.6
"2022-03-25",45.1
"2022-03-26",17.1
"2022-03-27",44.9
"2022-03-28",18.6
"2022-03-29",45.4
"2022-03-30",16.7
"2022-03-31",42.9
"2022-04-01",15.7
"2022-04-02",43.5
"2022-04-03",16.0
"2022-04-04",43.4
"2022-04-05",17.1
"2022-04-06",43.7
